label,duration,num_samples,accel_mag_mean,accel_mag_max,accel_mag_min,accel_mag_range,dps_mag_mean,dps_mag_max,dps_mag_min,dps_mag_range,a_x_mean,a_x_std,a_x_min,a_x_max,a_x_range,a_x_abs_max,a_x_delta,a_x_max_neighbor_diff,a_x_min_neighbor_diff,a_x_avg_neighbor_diff,a_x_max_gradient,a_x_min_gradient,a_x_num_peaks,a_x_zero_crossings,a_y_mean,a_y_std,a_y_min,a_y_max,a_y_range,a_y_abs_max,a_y_delta,a_y_max_neighbor_diff,a_y_min_neighbor_diff,a_y_avg_neighbor_diff,a_y_max_gradient,a_y_min_gradient,a_y_num_peaks,a_y_zero_crossings,a_z_mean,a_z_std,a_z_min,a_z_max,a_z_range,a_z_abs_max,a_z_delta,a_z_max_neighbor_diff,a_z_min_neighbor_diff,a_z_avg_neighbor_diff,a_z_max_gradient,a_z_min_gradient,a_z_num_peaks,a_z_zero_crossings,dps_x_mean,dps_x_std,dps_x_min,dps_x_max,dps_x_range,dps_x_abs_max,dps_x_delta,dps_x_max_neighbor_diff,dps_x_min_neighbor_diff,dps_x_avg_neighbor_diff,dps_x_max_gradient,dps_x_min_gradient,dps_x_num_peaks,dps_x_zero_crossings,dps_y_mean,dps_y_std,dps_y_min,dps_y_max,dps_y_range,dps_y_abs_max,dps_y_delta,dps_y_max_neighbor_diff,dps_y_min_neighbor_diff,dps_y_avg_neighbor_diff,dps_y_max_gradient,dps_y_min_gradient,dps_y_num_peaks,dps_y_zero_crossings,dps_z_mean,dps_z_std,dps_z_min,dps_z_max,dps_z_range,dps_z_abs_max,dps_z_delta,dps_z_max_neighbor_diff,dps_z_min_neighbor_diff,dps_z_avg_neighbor_diff,dps_z_max_gradient,dps_z_min_gradient,dps_z_num_peaks,dps_z_zero_crossings
bumps,1.8,31,0.9992392918511844,1.2762380224707304,0.8216820370435269,0.4545559854272034,3.384960697817181,11.471129995776352,0.3464823227814083,11.124647672994945,0.0456548387096774,0.0578957502108152,-0.0625,0.1374,0.1999,0.1374,0.1276,0.0722,-0.0556,0.0042533333333333,0.3558333333333338,-0.2838333333333333,0,2,0.0388645161290322,0.0226359971194422,-0.0076,0.0972,0.1047999999999999,0.0972,-0.0278999999999999,0.0604999999999999,-0.0484999999999999,-0.0009299999999999,0.1706666666666668,-0.214833333333333,1,0,0.9956225806451612,0.1029580455320755,0.819,1.2739,0.4549000000000001,1.2739,0.0131999999999998,0.1735000000000001,-0.1257999999999999,0.0004399999999999,1.3554999999999993,-1.0939999999999976,1,0,0.1281322580645161,0.8460454016135291,-1.5225,1.9162,3.4387,1.9162,1.9163,1.9074,-1.5924999999999998,0.0638766666666666,8.501999999999999,-8.750166666666665,1,0,0.1205290322580645,4.757920758846491,-8.1987,11.3488,19.5475,11.3488,-0.4463,4.6637,-6.0287,-0.0148766666666666,56.9915,-54.8625,1,2,0.1978709677419354,0.1927590312515402,-0.14,0.6562,0.7962,0.6562,-0.2275,0.5337000000000001,-0.4024999999999999,-0.0075833333333333,1.7497222222222224,-2.347833333333333,1,0
bumps,1.8,31,0.9955515783361932,1.2189288166254828,0.8374802326025375,0.3814485840229453,3.177734435363051,9.070910235472512,0.1752111297834701,8.895699105689042,-0.0172419354838709,0.0546692221406374,-0.1315,0.0912,0.2227,0.1315,-0.0709,0.1239,-0.1014,-0.0023633333333333,0.416,-0.5409722222222222,1,2,0.0431096774193548,0.0237076549499482,0.0007,0.123,0.1222999999999999,0.123,0.0191,0.0708,-0.0807,0.0006366666666666,0.262,-0.2426666666666665,1,0,0.9928064516129032,0.0903780686357181,0.8373,1.2164,0.3790999999999999,1.2164,0.0111000000000001,0.1207,-0.1305999999999999,0.00037,1.0668333333333333,-0.922000000000004,1,0,0.3138645161290322,1.0787169472876523,-1.9863,2.695,4.6813,2.695,-0.1136999999999999,1.155,-2.0475,-0.0037899999999999,13.008166666666662,-12.104000000000005,1,0,-0.0076258064516128,4.162000019939753,-9.0475,7.6825,16.73,9.0475,0.2713,4.8213,-3.2548999999999997,0.0090433333333333,46.564499999999995,-43.51666666666664,1,2,0.2819709677419355,0.2482098603917638,-0.2275,0.7262,0.9537,0.7262,-0.1225,0.8662,-0.455,-0.0040833333333333,1.6625000000000003,-1.939499999999999,1,0
bumps,1.8,31,0.998113112894102,1.247081095999775,0.850688227260728,0.3963928687390469,3.1970905486749133,10.695646120735296,0.347124444544028,10.348521676191268,0.0217612903225806,0.0397889069751805,-0.0431,0.1291,0.1722,0.1291,0.0404,0.1543999999999999,-0.1074,0.0013466666666666,0.2972222222222223,-0.274166666666667,1,0,0.0375064516129032,0.0214163478910211,0.0052,0.0878,0.0826,0.0878,0.0136999999999999,0.0558999999999999,-0.0635,0.0004566666666666,0.1984999999999999,-0.1683333333333332,1,0,0.9962645161290324,0.0969648477486802,0.8494,1.2446,0.3951999999999999,1.2446,-0.0240999999999999,0.1997,-0.141,-0.0008033333333333,1.198666666666666,-0.971166666666667,1,0,0.0059193548387096,0.7637337670590691,-1.505,1.5925,3.0975,1.5925,0.5163,1.6275,-1.26,0.01721,7.612500000000002,-7.874999999999999,1,0,0.1185451612903225,4.371903600632773,-8.015,10.6313,18.6463,10.6313,-0.4462,4.0425,-5.3111999999999995,-0.0148733333333333,52.19383333333333,-50.32716666666668,1,2,0.2602290322580645,0.2263511596223124,-0.2013,0.7,0.9013,0.7,0.2187,0.385,-0.5775,0.00729,1.5603333333333338,-1.6768333333333325,1,0
bumps,1.8,31,0.999024130686449,1.193137284640791,0.8269317565555213,0.3662055280852697,4.591901973615152,10.151767389474603,0.69533256791265,9.456434821561952,0.0103258064516129,0.0417657113570604,-0.0905,0.0813,0.1718,0.0905,-0.0731,0.0702,-0.0635,-0.0024366666666666,0.3511666666666671,-0.3397222222222219,1,1,0.0390903225806451,0.068038745602971,-0.1266,0.2065,0.3330999999999999,0.2065,0.0122,0.1026999999999999,-0.1389,0.0004066666666666,0.6175000000000002,-0.7204999999999993,1,3,0.9952548387096772,0.0907565969639293,0.8269,1.1843,0.3573999999999999,1.1843,-0.0662,0.121,-0.1245999999999999,-0.0022066666666666,0.9771666666666654,-0.9774999999999974,1,0,0.3197935483870968,3.756208664325904,-7.6562,6.9037,14.5599,7.6562,2.3363,4.8825,-6.5712,0.0778766666666667,36.74999999999996,-47.67283333333338,1,4,0.030483870967742,4.040822622610135,-8.8025,8.4875,17.29,8.8025,5.2763,4.4801,-3.5088000000000004,0.1758766666666666,41.50416666666663,-43.96883333333337,1,3,0.6686645161290322,0.550012945028501,-0.3413,1.5925,1.9338,1.5925,1.4,1.4874999999999998,-1.0237,0.0466666666666666,2.887500000000001,-3.208500000000001,1,0
bumps,1.8,31,1.0019929899842184,1.1713190001020215,0.8607641140289249,0.3105548860730968,4.345407569592826,12.16730849202074,0.4291493096813742,11.738159182339365,0.0033709677419354,0.0380308926492519,-0.1067,0.0644,0.1711,0.1067,-0.0109,0.0475,-0.0528,-0.0003633333333333,0.3029999999999997,-0.3563333333333335,0,1,0.0323354838709677,0.0648408644214798,-0.1283,0.1721,0.3004,0.1721,0.0195,0.1475,-0.0856,0.0006499999999999,0.7346666666666662,-0.7190000000000001,1,3,0.998809677419355,0.0760207969564412,0.8606,1.168,0.3073999999999999,1.168,-0.0304999999999998,0.1363000000000001,-0.0988999999999999,-0.0010166666666666,0.97866666666667,-0.7168333333333345,1,0,-0.0855322580645161,3.5068303242279537,-6.58,9.17,15.75,9.17,0.735,6.203799999999999,-4.1563,0.0244999999999999,46.63750000000001,-34.64983333333334,1,4,0.2246709677419354,4.070101422503175,-6.3088,9.5112,15.82,9.5112,-1.2512,3.6051,-6.772500000000001,-0.0417066666666666,45.952,-44.26016666666667,1,2,0.4600741935483871,1.0401840462045622,-1.6013,2.9137,4.515,2.9137,0.385,2.5112,-2.1875,0.0128333333333333,6.65,-6.591500000000007,1,0
bumps,1.8,31,0.9953724909107988,1.1708688483344325,0.8397116469360182,0.3311572013984143,5.2852634647591605,12.2299393244611,0.6203207879798968,11.609618536481204,-0.0117096774193548,0.0441087622046437,-0.1045,0.0878,0.1923,0.1045,-0.0568,0.1100999999999999,-0.0575,-0.0018933333333333,0.3991666666666667,-0.307333333333333,1,1,0.0375032258064516,0.0871088800826145,-0.1435,0.2139,0.3574,0.2139,0.0066999999999999,0.0924,-0.2021,0.0002233333333333,0.7970000000000009,-0.9276666666666668,1,4,0.9900483870967745,0.0724359803365139,0.8395,1.1625,0.323,1.1625,-0.0471,0.104,-0.0982999999999999,-0.00157,0.8431666666666686,-0.7734999999999985,1,0,0.148174193548387,5.339950995403593,-11.1562,9.2137,20.3699,11.1562,-0.2887,6.16,-7.6824,-0.0096233333333333,59.397666666666666,-63.379166666666656,1,4,0.0299354838709676,3.5302904036871516,-7.7087,8.0588,15.7675,8.0588,-0.3675,3.9987,-3.9287,-0.01225,35.74366666666667,-38.95216666666666,1,2,0.3093516129032258,0.7885735779963582,-1.4262,1.6712,3.0974,1.6712,0.3062,2.275,-1.6974999999999998,0.0102066666666666,8.385416666666666,-5.512333333333335,1,0
bumps,1.8,31,1.007057063098899,1.2309659702851252,0.8605779511467859,0.3703880191383393,3.164376363181,10.29277031172852,0.4856052923929063,9.807165019335612,0.0051548387096774,0.0657262496455801,-0.1322,0.1476,0.2798,0.1476,0.1377,0.1689,-0.0959,0.0045899999999999,0.5108333333333333,-0.71,0,2,0.0435612903225806,0.0213650755115188,0.0159,0.0937,0.0778,0.0937,0.0116999999999999,0.0741,-0.0477999999999999,0.0003899999999999,0.2201666666666666,-0.2011666666666664,1,0,1.0038451612903223,0.0971458691477569,0.855,1.2268,0.3717999999999999,1.2268,0.1534999999999998,0.1254999999999999,-0.1546999999999999,0.0051166666666666,1.121833333333333,-0.910333333333332,1,0,0.1625870967741935,1.0066151541153272,-1.5838,2.8788,4.4626,2.8788,0.7436999999999999,1.6538,-1.6887,0.02479,11.185333333333332,-10.908333333333331,1,0,-0.0358483870967741,4.180698639451783,-9.835,6.9387,16.7737,9.835,-0.665,5.0925,-3.6488,-0.0221666666666666,45.79166666666666,-45.19366666666666,1,2,0.4109677419354838,0.2408471069469824,-0.1925,0.9625,1.155,0.9625,-0.2624999999999999,0.5775,-0.4025,-0.00875,2.9165,-2.6688333333333323,1,0
bumps,1.8,31,0.9952112829309554,1.198700967714634,0.8631957657449439,0.3355052019696901,3.098847027468298,9.155318997173174,0.2459641843846376,8.909354812788536,-0.0073999999999999,0.0587382839381608,-0.1862,0.0863,0.2725,0.1862,-0.1083,0.0962,-0.2165,-0.0036099999999999,0.4808333333333334,-0.3111111111111111,1,2,0.0440129032258064,0.0255788159999048,-0.0054,0.1132,0.1186,0.1132,-0.0125,0.0566999999999999,-0.057,-0.0004166666666666,0.3040277777777777,-0.2745000000000001,1,0,0.9923193548387096,0.0899620528124862,0.8625,1.1958,0.3332999999999999,1.1958,-0.0951999999999999,0.1031999999999999,-0.1709999999999999,-0.0031733333333333,1.043166666666668,-0.8635000000000002,1,0,0.2026645161290322,0.95935744035557,-1.3825,2.3625,3.745,2.3625,0.63,1.4087,-1.8988,0.021,10.966833333333332,-11.098,1,0,0.1061354838709677,4.119184345599534,-9.1175,8.225,17.3425,9.1175,-1.9162,6.0024999999999995,-3.6225,-0.0638733333333333,43.34166666666666,-42.947833333333335,1,2,0.0889096774193548,0.2108741620885762,-0.56,0.525,1.085,0.56,0.2887,0.4288,-0.7613000000000001,0.0096233333333333,1.8373333333333337,-2.783055555555556,1,0
bumps,1.8,31,0.9976515529364164,1.225979061811416,0.8316409682068339,0.3943380936045823,3.020995283610323,10.526702234793191,0.3289853796143531,10.19771685517884,0.0316290322580645,0.0454604604284381,-0.0503,0.1204,0.1707,0.1204,0.102,0.1535,-0.0903,0.0033999999999999,0.2603333333333331,-0.2623333333333334,1,4,0.0394354838709677,0.0190212784075641,-0.0045,0.0893,0.0938,0.0893,-0.0025999999999999,0.054,-0.0614,-8.66666666666666e-05,0.1553333333333335,-0.1246666666666667,1,0,0.9952290322580644,0.0971707369995322,0.8306,1.2249,0.3943000000000001,1.2249,-0.0068,0.1541,-0.1378999999999999,-0.0002266666666666,1.2048333333333323,-0.9748333333333336,1,0,0.0939903225806451,0.4824070075187815,-0.945,1.26,2.205,1.26,0.21,1.1375,-1.1813,0.007,4.462499999999995,-5.235333333333335,1,0,0.122516129032258,4.292291214265933,-8.505,10.4475,18.9525,10.4475,-0.9799,3.9287,-5.2326,-0.0326633333333332,51.79983333333333,-47.92083333333334,1,2,0.3545290322580645,0.1813913966970289,0.0262,0.7788,0.7526,0.7788,-0.1312,0.35,-0.5338,-0.0043733333333333,1.866666666666667,-1.4584722222222208,1,0
bumps,1.8,31,1.0032232322486083,1.3837568102813442,0.799122087043025,0.5846347232383192,5.681921449154423,10.206476497792956,1.9803870530782617,8.226089444714695,0.0004258064516129,0.0714687949049184,-0.1089,0.1471,0.256,0.1471,0.0697,0.1251,-0.1001,0.0023233333333333,0.7836666666666665,-0.6946666666666668,1,2,0.0092548387096774,0.0530833045863428,-0.131,0.1405,0.2715,0.1405,0.0818,0.0779,-0.1115,0.0027266666666666,0.4536666666666676,-0.6841666666666666,1,2,0.9995516129032258,0.140556332410337,0.7991,1.3735,0.5743999999999999,1.3735,0.1115999999999999,0.2253,-0.2375,0.0037199999999999,1.3498333333333328,-1.750499999999998,1,0,0.1603258064516128,2.904743593844127,-7.6912,4.2962,11.9874,7.6912,-0.7612999999999999,3.1937000000000006,-4.9,-0.0253766666666667,34.08116666666666,-37.624833333333335,1,3,-0.107258064516129,5.183486052183684,-8.3912,8.3912,16.7824,8.3912,-8.3912,2.7037,-4.3575,-0.2797066666666666,24.51466666666665,-40.23533333333334,0,3,-0.8606064516129032,1.4843527356922237,-4.7075,0.945,5.6525,4.7075,-4.3488,0.9187,-1.1638,-0.14496,2.727166666666665,-9.552166666666658,0,0
